년도,월,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,타시도
2012,8,7 ,10 ,5 ,6 ,8 ,7 ,5 ,2 ,6 ,6 ,9 ,7 ,5 ,5 ,8 ,2 ,1 ,3 ,28 ,0 ,10 ,5 ,15 ,4 ,4 ,62 
2012,9,13 ,48 ,5 ,12 ,52 ,12 ,11 ,6 ,8 ,10 ,16 ,16 ,11 ,38 ,43 ,14 ,6 ,7 ,18 ,9 ,2 ,12 ,23 ,7 ,8 ,20 
2012,10,8 ,20 ,5 ,6 ,29 ,4 ,5 ,14 ,8 ,0 ,8 ,10 ,18 ,34 ,55 ,9 ,15 ,3 ,42 ,19 ,19 ,19 ,22 ,11 ,3 ,10 
2012,11,44 ,7 ,10 ,15 ,12 ,5 ,4 ,2 ,2 ,11 ,9 ,12 ,26 ,26 ,22 ,13 ,15 ,13 ,19 ,16 ,5 ,16 ,15 ,12 ,4 ,7 
2012,12,26 ,28 ,13 ,16 ,10 ,6 ,9 ,12 ,2 ,3 ,3 ,8 ,8 ,27 ,18 ,10 ,12 ,1 ,25 ,9 ,9 ,12 ,13 ,23 ,3 ,9 
2013,1,37 ,30 ,25 ,33 ,27 ,7 ,18 ,19 ,17 ,14 ,7 ,25 ,32 ,22 ,17 ,46 ,17 ,36 ,48 ,44 ,20 ,25 ,41 ,42 ,18 ,15 
2013,2,58 ,73 ,54 ,45 ,57 ,29 ,37 ,32 ,17 ,45 ,40 ,45 ,23 ,43 ,40 ,43 ,49 ,50 ,51 ,43 ,29 ,50 ,45 ,112 ,40 ,18 
2013,3,98 ,54 ,96 ,76 ,46 ,47 ,41 ,64 ,31 ,134 ,49 ,31 ,51 ,60 ,26 ,116 ,50 ,44 ,90 ,58 ,45 ,71 ,46 ,53 ,54 ,8 
2013,4,124 ,123 ,147 ,53 ,35 ,64 ,70 ,65 ,156 ,228 ,79 ,143 ,48 ,105 ,34 ,58 ,187 ,49 ,75 ,88 ,35 ,63 ,75 ,79 ,50 ,13 
2013,5,49 ,84 ,173 ,49 ,85 ,124 ,84 ,44 ,59 ,131 ,40 ,69 ,68 ,72 ,21 ,71 ,135 ,31 ,132 ,470 ,215 ,61 ,94 ,79 ,38 ,13 
2013,6,129 ,96 ,217 ,126 ,134 ,131 ,53 ,84 ,107 ,323 ,86 ,122 ,87 ,91 ,73 ,98 ,246 ,157 ,130 ,716 ,355 ,164 ,144 ,74 ,198 ,23 
2013,7,85 ,142 ,234 ,122 ,93 ,87 ,46 ,85 ,37 ,143 ,37 ,98 ,364 ,251 ,94 ,96 ,402 ,143 ,106 ,408 ,192 ,231 ,179 ,219 ,92 ,23 
2013,8,50 ,83 ,148 ,88 ,56 ,100 ,54 ,82 ,50 ,243 ,81 ,95 ,429 ,231 ,107 ,116 ,293 ,59 ,153 ,373 ,151 ,174 ,151 ,244 ,153 ,26 
2013,9,79 ,90 ,53 ,339 ,47 ,102 ,42 ,38 ,89 ,73 ,45 ,72 ,674 ,239 ,431 ,67 ,168 ,42 ,112 ,571 ,157 ,101 ,133 ,643 ,131 ,31 
2013,10,104 ,103 ,66 ,70 ,55 ,92 ,64 ,74 ,64 ,94 ,68 ,81 ,340 ,199 ,95 ,111 ,191 ,50 ,219 ,699 ,79 ,160 ,167 ,414 ,158 ,33 
2013,11,81 ,138 ,53 ,52 ,56 ,64 ,46 ,89 ,45 ,81 ,50 ,98 ,225 ,164 ,99 ,66 ,101 ,39 ,84 ,372 ,65 ,201 ,182 ,128 ,159 ,16 
2013,12,117 ,140 ,63 ,58 ,60 ,64 ,33 ,68 ,35 ,80 ,51 ,73 ,116 ,151 ,72 ,58 ,77 ,17 ,79 ,120 ,104 ,163 ,186 ,152 ,182 ,19 
2014,1,91 ,108 ,56 ,76 ,57 ,51 ,50 ,66 ,87 ,254 ,54 ,49 ,136 ,161 ,88 ,41 ,43 ,40 ,70 ,219 ,83 ,136 ,176 ,160 ,295 ,18 
2014,2,94 ,104 ,59 ,81 ,70 ,33 ,51 ,110 ,56 ,118 ,67 ,103 ,153 ,220 ,88 ,76 ,174 ,31 ,85 ,781 ,114 ,158 ,196 ,327 ,560 ,21 
2014,3,214 ,123 ,78 ,106 ,64 ,98 ,669 ,213 ,120 ,211 ,102 ,111 ,116 ,360 ,100 ,148 ,369 ,78 ,490 ,234 ,168 ,208 ,343 ,202 ,308 ,47 
2014,4,227 ,164 ,100 ,192 ,56 ,144 ,916 ,140 ,118 ,305 ,117 ,122 ,198 ,372 ,129 ,308 ,464 ,362 ,"1,028 ",180 ,155 ,210 ,346 ,264 ,463 ,52 
2014,5,198 ,158 ,142 ,210 ,106 ,183 ,806 ,119 ,96 ,298 ,82 ,202 ,134 ,396 ,329 ,288 ,443 ,454 ,"1,228 ",134 ,177 ,302 ,404 ,290 ,505 ,31 
2014,6,220 ,121 ,170 ,187 ,568 ,137 ,526 ,130 ,132 ,232 ,79 ,197 ,296 ,278 ,315 ,312 ,330 ,417 ,"2,343 ",129 ,483 ,218 ,305 ,531 ,528 ,39 
2014,7,361 ,171 ,187 ,203 ,"1,551 ",128 ,955 ,102 ,110 ,213 ,75 ,143 ,252 ,359 ,217 ,537 ,425 ,77 ,"2,565 ",120 ,187 ,302 ,361 ,748 ,495 ,31 
2014,8,431 ,341 ,443 ,369 ,"1,362 ",203 ,849 ,224 ,254 ,452 ,184 ,240 ,204 ,541 ,217 ,583 ,349 ,85 ,"1,727 ",285 ,331 ,516 ,470 ,"1,147 ",714 ,53 
2014,9,483 ,338 ,646 ,836 ,862 ,317 ,"1,492 ",339 ,235 ,493 ,298 ,290 ,264 ,676 ,249 ,792 ,343 ,125 ,"1,253 ",458 ,425 ,656 ,612 ,"1,249 ",880 ,63 
2014,10,552 ,412 ,747 ,"1,145 ","2,044 ",373 ,"1,855 ",288 ,190 ,424 ,215 ,291 ,240 ,773 ,266 ,976 ,276 ,122 ,"1,607 ",786 ,355 ,"1,016 ",810 ,"1,713 ",555 ,53 
2014,11,470 ,332 ,715 ,"1,450 ",350 ,303 ,"1,002 ",311 ,207 ,139 ,249 ,254 ,225 ,575 ,216 ,584 ,221 ,82 ,"1,110 ",264 ,273 ,661 ,619 ,"1,529 ",371 ,45 
2014,12,523 ,403 ,707 ,272 ,293 ,184 ,245 ,377 ,181 ,68 ,177 ,231 ,225 ,499 ,205 ,449 ,262 ,82 ,579 ,265 ,173 ,519 ,686 ,573 ,379 ,44 
2015,1,425 ,345 ,776 ,236 ,278 ,175 ,290 ,277 ,177 ,222 ,204 ,251 ,214 ,493 ,280 ,540 ,353 ,102 ,667 ,195 ,222 ,654 ,662 ,586 ,381 ,33 
2015,2,467 ,371 ,635 ,326 ,260 ,168 ,206 ,245 ,169 ,107 ,220 ,252 ,243 ,481 ,237 ,483 ,421 ,85 ,815 ,162 ,926 ,680 ,581 ,467 ,340 ,31 
2015,3,602 ,498 ,776 ,611 ,932 ,315 ,387 ,282 ,296 ,296 ,367 ,483 ,443 ,477 ,329 ,945 ,664 ,139 ,"2,105 ",497 ,"1,879 ",833 ,679 ,710 ,495 ,36 
2015,4,852 ,938 ,987 ,633 ,747 ,334 ,270 ,336 ,357 ,509 ,368 ,672 ,411 ,679 ,412 ,"1,826 ",800 ,128 ,"2,245 ",279 ,"1,880 ",969 ,792 ,"1,301 ",500 ,50 
2015,5,"1,040 ",942 ,"1,151 ",672 ,839 ,363 ,751 ,368 ,380 ,605 ,384 ,888 ,419 ,651 ,429 ,"1,902 ",976 ,119 ,"1,960 ",302 ,"1,557 ","1,075 ",724 ,"1,435 ",665 ,47 
2015,6,"1,170 ",618 ,792 ,"1,286 ","1,034 ","1,351 ",545 ,796 ,451 ,789 ,425 ,"1,528 ",442 ,"1,075 ",477 ,"2,209 ",856 ,139 ,"2,204 ",530 ,"1,548 ","1,421 ",828 ,"1,618 ",969 ,55 
2015,7,"1,064 ",604 ,761 ,710 ,"1,377 ","2,249 ",834 ,"3,193 ",474 ,818 ,526 ,"1,208 ",475 ,942 ,"1,600 ","1,649 ",764 ,513 ,"2,321 ",356 ,"1,783 ","1,401 ","1,031 ","1,517 ",901 ,69 
2015,8,816 ,593 ,741 ,"2,104 ","1,405 ",941 ,391 ,"2,352 ",778 ,"1,270 ",420 ,"2,194 ",348 ,796 ,637 ,"1,394 ",577 ,464 ,"2,188 ",512 ,"2,310 ","1,225 ",927 ,"1,769 ","1,366 ",67 
2015,9,792 ,"1,219 ",760 ,"2,658 ","2,122 ",812 ,501 ,"1,334 ",444 ,574 ,572 ,"2,923 ",400 ,"1,023 ",662 ,"1,227 ",596 ,"1,876 ","2,484 ",449 ,"3,144 ","1,523 ",941 ,"2,351 ","1,090 ",631 
2015,10,807 ,690 ,848 ,"1,734 ","1,022 ",638 ,346 ,533 ,443 ,330 ,484 ,770 ,353 ,"1,230 ",939 ,"1,172 ",412 ,363 ,"1,729 ",376 ,"2,112 ","1,137 ","1,066 ",734 ,903 ,57 
2015,11,774 ,740 ,660 ,"1,151 ",996 ,588 ,288 ,552 ,460 ,246 ,468 ,693 ,522 ,860 ,709 ,941 ,550 ,187 ,"1,331 ",347 ,"1,841 ","1,237 ","1,075 ",743 ,950 ,38 
2015,12,800 ,605 ,762 ,653 ,918 ,500 ,306 ,513 ,416 ,196 ,443 ,671 ,475 ,864 ,662 ,916 ,568 ,174 ,780 ,387 ,"1,755 ","1,095 ","1,195 ",718 ,896 ,36 
2016,1,628 ,607 ,697 ,634 ,"1,074 ",479 ,224 ,"1,181 ",252 ,646 ,424 ,672 ,433 ,845 ,735 ,865 ,649 ,155 ,"2,417 ",358 ,"1,444 ","1,146 ","1,034 ",734 ,"1,052 ",50 
